==20402== NVPROF is profiling process 20402, command: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 9 1 1
==20402== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/3D.py 9 1 1
==20402== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
2.65690s  1.4720us                    -               -         -         -         -      112B  72.562MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.30447s  1.1840us                    -               -         -         -         -      112B  90.212MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.30503s  1.4720us                    -               -         -         -         -      112B  72.562MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.30545s  1.1840us                    -               -         -         -         -      112B  90.212MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.30590s  1.1840us                    -               -         -         -         -      112B  90.212MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
39.9207s  2.3143ms                    -               -         -         -         -  20.000MB  8.4392GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
39.9232s  583.27us                    -               -         -         -         -  6.0000MB  10.046GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
39.9997s  163.43us                    -               -         -         -         -  18.023MB  107.70GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
39.9998s  1.4381ms                    -               -         -         -         -  18.023MB  12.239GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
40.0120s  160.19us                    -               -         -         -         -  18.023MB  109.87GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
40.0122s  1.4489ms                    -               -         -         -         -  18.023MB  12.148GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
40.0159s  1.4550ms                    -               -         -         -         -  18.023MB  12.097GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
40.0190s  34.369us                    -               -         -         -         -  4.0156MB  114.10GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
40.0190s  322.59us                    -               -         -         -         -  4.0156MB  12.156GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
40.0210s  34.496us                    -               -         -         -         -  4.0156MB  113.68GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
40.0211s  321.92us                    -               -         -         -         -  4.0156MB  12.182GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
40.0217s  320.93us                    -               -         -         -         -  4.0156MB  12.219GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
40.1864s  8.5664ms          (16384 1 1)        (32 1 1)        52        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [15371]
40.1959s  162.40us                    -               -         -         -         -  18.023MB  108.38GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
40.1961s  1.4491ms                    -               -         -         -         -  18.023MB  12.146GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
40.2010s  1.5023ms                    -               -         -         -         -  18.023MB  11.716GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
40.2107s  159.68us                    -               -         -         -         -  18.023MB  110.23GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
40.2109s  1.4489ms                    -               -         -         -         -  18.023MB  12.148GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
40.2146s  1.4614ms                    -               -         -         -         -  18.023MB  12.044GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
40.2201s  159.84us                    -               -         -         -         -  18.023MB  110.12GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
40.2202s  1.4381ms                    -               -         -         -         -  18.023MB  12.239GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
40.2409s  159.71us                    -               -         -         -         -  18.023MB  110.20GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
40.2411s  1.4378ms                    -               -         -         -         -  18.023MB  12.242GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
40.2463s  1.5012ms                    -               -         -         -         -  18.023MB  11.725GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
40.2517s  159.90us                    -               -         -         -         -  18.023MB  110.07GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
40.2518s  1.4380ms                    -               -         -         -         -  18.023MB  12.240GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
40.2570s  1.4432ms                    -               -         -         -         -  18.023MB  12.196GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
40.2981s  8.7040us                    -               -         -         -         -  80.000KB  8.7654GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
40.3157s  2.6240us                    -               -         -         -         -  24.000KB  8.7226GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
40.3813s  4.7680us            (192 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression [16409]
40.3815s  344.58us                    -               -         -         -         -  18.023MB  51.080GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
