==22052== NVPROF is profiling process 22052, command: python3 /home/clara/GMGGPU-Evaluation/untitled/diff_meshes.py 7 1 1
==22052== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/diff_meshes.py 7 1 1
==22052== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
742.64ms  1.2480us                    -               -         -         -         -      112B  85.586MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
1.19763s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
1.19811s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
1.19851s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
1.19888s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.36884s  46.880us                    -               -         -         -         -  576.00KB  11.718GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.36899s  22.272us                    -               -         -         -         -  256.00KB  10.962GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.44069s  6.0160us                    -               -         -         -         -  516.01KB  81.799GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
3.44071s  41.824us                    -               -         -         -         -  516.01KB  11.766GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
3.44121s  3.0080us                    -               -         -         -         -  516.01KB  163.60GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
3.44122s  41.856us                    -               -         -         -         -  516.01KB  11.757GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
3.44134s  42.337us                    -               -         -         -         -  516.01KB  11.623GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.44153s  2.1120us                    -               -         -         -         -  260.02KB  117.41GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
3.44154s  21.921us                    -               -         -         -         -  260.02KB  11.312GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
3.44174s  2.1440us                    -               -         -         -         -  260.02KB  115.66GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
3.44175s  21.920us                    -               -         -         -         -  260.02KB  11.313GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
3.44181s  22.528us                    -               -         -         -         -  260.02KB  11.007GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.60264s  276.00us            (512 1 1)        (32 1 1)        56        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [12607]
3.61162s  5.5680us                    -               -         -         -         -  516.01KB  88.381GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
3.61163s  41.248us                    -               -         -         -         -  516.01KB  11.930GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
3.61185s  42.465us                    -               -         -         -         -  516.01KB  11.588GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.61244s  3.5200us                    -               -         -         -         -  516.01KB  139.80GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
3.61245s  41.920us                    -               -         -         -         -  516.01KB  11.739GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
3.61255s  42.528us                    -               -         -         -         -  516.01KB  11.571GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.61287s  3.4240us                    -               -         -         -         -  516.01KB  143.72GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
3.61288s  41.856us                    -               -         -         -         -  516.01KB  11.757GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
3.63188s  3.9360us                    -               -         -         -         -  516.01KB  125.03GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
3.63190s  41.920us                    -               -         -         -         -  516.01KB  11.739GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
3.63207s  42.432us                    -               -         -         -         -  516.01KB  11.597GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.63237s  3.5840us                    -               -         -         -         -  516.01KB  137.31GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
3.63238s  41.921us                    -               -         -         -         -  516.01KB  11.739GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
3.63258s  42.433us                    -               -         -         -         -  516.01KB  11.597GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.64165s  2.5280us                    -               -         -         -         -  18.000KB  6.7904GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.65308s  1.2160us                    -               -         -         -         -  4.0000KB  3.1371GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.74551s  1.4080us             (32 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression [13537]
3.74572s  10.080us                    -               -         -         -         -  516.01KB  48.820GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
3.74603s  4.2880us                    -               -         -         -         -  516.01KB  114.76GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
3.74604s  41.920us                    -               -         -         -         -  516.01KB  11.739GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
3.74617s  10.240us                    -               -         -         -         -  516.01KB  48.057GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
3.81627s  6.3040us           (2065 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [13597]
3.88278s  400.58us            (512 1 1)        (32 1 1)       148        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_form0_cell_integral_otherwise [13607]
3.95987s  2.6560us             (32 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [13617]
3.96010s  10.304us                    -               -         -         -         -  516.01KB  47.758GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
3.96376s  1.9840us                    -               -         -         -         -  130.01KB  62.492GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
3.96376s  11.136us                    -               -         -         -         -  130.01KB  11.134GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
4.42278s  3.3600us                    -               -         -         -         -  130.01KB  36.900GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
4.42278s  11.553us                    -               -         -         -         -  130.01KB  10.732GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
