==24865== NVPROF is profiling process 24865, command: python3 /home/clara/GMGGPU-Evaluation/untitled/harder_solver.py 6 5 5
==24865== Profiling application: python3 /home/clara/GMGGPU-Evaluation/untitled/harder_solver.py 6 5 5
==24865== Profiling result:
   Start  Duration            Grid Size      Block Size     Regs*    SSMem*    DSMem*      Size  Throughput  SrcMemType  DstMemType           Device   Context    Stream  Name
3.61016s  1.5360us                    -               -         -         -         -      112B  69.539MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.99285s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.99328s  1.1840us                    -               -         -         -         -      112B  90.212MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.99365s  1.2160us                    -               -         -         -         -      112B  87.838MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
3.99407s  1.1840us                    -               -         -         -         -      112B  90.212MB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
16.1295s  580.64us                    -               -         -         -         -  4.6875MB  7.8837GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
16.1304s  250.63us                    -               -         -         -         -  2.3438MB  9.1324GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
16.2001s  31.200us                    -               -         -         -         -  3.1348MB  98.119GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
16.2001s  252.23us                    -               -         -         -         -  3.1348MB  12.137GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
16.2022s  26.080us                    -               -         -         -         -  3.1348MB  117.38GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
16.2022s  252.71us                    -               -         -         -         -  3.1348MB  12.114GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
16.2028s  251.75us                    -               -         -         -         -  3.1348MB  12.160GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
16.2040s  12.352us                    -               -         -         -         -  1.5723MB  124.31GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
16.2040s  138.40us                    -               -         -         -         -  1.5723MB  11.094GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
16.2051s  12.704us                    -               -         -         -         -  1.5723MB  120.86GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
16.2051s  128.26us                    -               -         -         -         -  1.5723MB  11.972GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
16.2054s  127.46us                    -               -         -         -         -  1.5723MB  12.047GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
16.3587s  2.0313ms           (6400 1 1)        (32 1 1)        50        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression_kernel [11381]
16.3668s  28.672us                    -               -         -         -         -  3.1348MB  106.77GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
16.3669s  251.81us                    -               -         -         -         -  3.1348MB  12.157GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
16.3681s  251.75us                    -               -         -         -         -  3.1348MB  12.160GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
16.3708s  25.984us                    -               -         -         -         -  3.1348MB  117.81GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
16.3708s  251.84us                    -               -         -         -         -  3.1348MB  12.156GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
16.3714s  253.06us                    -               -         -         -         -  3.1348MB  12.097GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
16.3728s  26.112us                    -               -         -         -         -  3.1348MB  117.24GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
16.3728s  252.58us                    -               -         -         -         -  3.1348MB  12.120GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
16.3893s  26.272us                    -               -         -         -         -  3.1348MB  116.52GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
16.3894s  253.31us                    -               -         -         -         -  3.1348MB  12.085GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
16.3904s  251.81us                    -               -         -         -         -  3.1348MB  12.157GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
16.3915s  26.432us                    -               -         -         -         -  3.1348MB  115.82GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
16.3916s  252.61us                    -               -         -         -         -  3.1348MB  12.119GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
16.3925s  253.31us                    -               -         -         -         -  3.1348MB  12.085GB/s      Pinned      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
16.4108s  3.1360us                    -               -         -         -         -  30.000KB  9.1232GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
16.4226s  1.2160us                    -               -         -         -         -  10.000KB  7.8427GB/s    Pageable      Device  GeForce GTX 165         2        15  [CUDA memcpy HtoD]
16.4946s  2.0800us             (80 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_expression [12257]
16.4948s  62.112us                    -               -         -         -         -  3.1348MB  49.287GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
16.4960s  29.344us                    -               -         -         -         -  3.1348MB  104.32GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
16.4961s  252.64us                    -               -         -         -         -  3.1348MB  12.117GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
16.4965s  58.401us                    -               -         -         -         -  3.1348MB  52.419GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
16.5717s  34.464us          (12841 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [12317]
16.6434s  1.6310ms           (6400 1 1)        (32 1 1)        74        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_form0_cell_integral_otherwise [12327]
16.7190s  1.7600us             (80 1 1)        (32 1 1)        16        0B        0B         -           -           -           -  GeForce GTX 165         2        15  wrap_zero [12337]
16.7193s  62.304us                    -               -         -         -         -  3.1348MB  49.135GB/s      Device      Device  GeForce GTX 165         2        15  [CUDA memcpy DtoD]
16.7451s  7.8080us                    -               -         -         -         -  805.01KB  98.324GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
16.7451s  64.512us                    -               -         -         -         -  805.01KB  11.900GB/s      Device      Pinned  GeForce GTX 165         2        15  [CUDA memcpy DtoH]
17.1656s  10.144us                    -               -         -         -         -  805.01KB  75.682GB/s      Device           -  GeForce GTX 165         2        15  [CUDA memset]
